date,Usage_kWh,Lagging_Current_Reactive_Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2_tCO2,Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type
2018-01-01 10:15:00,11.243,4.927,0.562,0.05161,0.91,0.97,36900,Weekday,Monday,Maximum_Load
2018-01-01 10:30:00,11.171,4.747,0.725,0.04799,0.83,0.94,37800,Weekday,Monday,Maximum_Load
2018-01-01 10:45:00,11.125,4.24,0.219,0.05017,0.9,0.98,38700,Weekday,Monday,Maximum_Load
2018-01-01 11:00:00,10.83,5.812,0.151,0.0485,0.87,0.97,39600,Weekday,Monday,Medium_Load
2018-01-01 11:15:00,11.02,5.668,0.764,0.05092,0.89,0.92,40500,Weekday,Monday,Maximum_Load
2018-01-01 11:30:00,11.085,5.647,0.716,0.04834,0.84,0.97,41400,Weekday,Monday,Maximum_Load
2018-01-01 11:45:00,11.464,3.828,0.612,0.05094,0.88,0.95,42300,Weekday,Monday,Maximum_Load
2018-01-01 12:00:00,11.286,4.351,0.774,0.05298,0.89,0.96,43200,Weekday,Monday,Maximum_Load
2018-01-01 12:15:00,10.759,5.404,0.302,0.046,0.86,0.98,44100,Weekday,Monday,Medium_Load
2018-01-01 12:30:00,11.281,5.655,1.213,0.05697,0.88,0.94,45000,Weekday,Monday,Maximum_Load
2018-01-01 12:45:00,11.104,4.895,0.565,0.04877,0.9,0.93,45900,Weekday,Monday,Maximum_Load
2018-01-01 13:00:00,11.031,6.451,0.402,0.05096,0.89,0.93,46800,Weekday,Monday,Maximum_Load
2018-01-01 13:15:00,11.353,6.455,0.547,0.05404,0.83,0.93,47700,Weekday,Monday,Maximum_Load
2018-01-01 13:30:00,11.458,4.528,1.017,0.04944,0.86,0.95,48600,Weekday,Monday,Maximum_Load
2018-01-01 13:45:00,11.433,4.103,0.621,0.05398,0.86,0.94,49500,Weekday,Monday,Maximum_Load
2018-01-01 14:00:00,10.99,5.074,0.735,0.04558,0.89,0.97,50400,Weekday,Monday,Medium_Load
2018-01-01 14:15:00,11.123,6.438,0.676,0.05138,0.89,0.9,51300,Weekday,Monday,Maximum_Load
2018-01-01 14:30:00,11.283,3.76,0.315,0.05124,0.87,0.98,52200,Weekday,Monday,Maximum_Load
2018-01-01 14:45:00,11.444,5.05,0.535,0.05232,0.87,0.99,53100,Weekday,Monday,Maximum_Load
2018-01-01 15:00:00,11.08,4.906,0.366,0.04737,0.9,0.95,54000,Weekday,Monday,Maximum_Load
2018-01-01 15:15:00,11.154,4.134,1.284,0.05035,0.9,0.98,54900,Weekday,Monday,Maximum_Load
2018-01-01 15:30:00,10.923,4.612,0.244,0.05368,0.88,0.95,55800,Weekday,Monday,Medium_Load
2018-01-01 15:45:00,10.901,4.594,0.903,0.04671,0.93,0.98,56700,Weekday,Monday,Medium_Load
2018-01-01 16:00:00,11.403,6.245,0.441,0.05205,0.87,0.93,57600,Weekday,Monday,Maximum_Load
2018-01-01 16:15:00,11.539,5.45,0.555,0.05501,0.87,0.95,58500,Weekday,Monday,Maximum_Load
2018-01-01 16:30:00,11.182,5.285,0.551,0.05024,0.84,0.96,59400,Weekday,Monday,Maximum_Load
2018-01-01 16:45:00,11.451,3.77,0.613,0.04915,0.83,0.93,60300,Weekday,Monday,Maximum_Load
2018-01-01 17:00:00,11.29,3.62,0.781,0.05077,0.92,0.99,61200,Weekday,Monday,Maximum_Load
2018-01-01 17:15:00,11.039,5.914,0.919,0.04865,0.84,0.95,62100,Weekday,Monday,Maximum_Load
2018-01-01 17:30:00,11.29,4.467,0.461,0.05046,0.88,0.94,63000,Weekday,Monday,Maximum_Load
2018-01-01 17:45:00,11.585,3.225,0.405,0.05024,0.87,0.93,63900,Weekday,Monday,Maximum_Load
2018-01-01 18:00:00,11.191,3.818,0.953,0.04938,0.84,0.95,64800,Weekday,Monday,Maximum_Load
2018-01-01 18:15:00,11.591,4.368,0.594,0.05672,0.91,0.95,65700,Weekday,Monday,Maximum_Load
2018-01-01 18:30:00,10.545,2.924,0.601,0.0468,0.9,0.97,66600,Weekday,Monday,Medium_Load
2018-01-01 18:45:00,11.405,5.337,0.786,0.05272,0.85,0.98,67500,Weekday,Monday,Maximum_Load
2018-01-01 19:00:00,11.222,5.051,0.863,0.0532,0.87,0.97,68400,Weekday,Monday,Maximum_Load
2018-01-01 19:15:00,11.125,4.901,1.117,0.05198,0.86,0.97,69300,Weekday,Monday,Maximum_Load
2018-01-01 19:30:00,11.223,5.93,0.303,0.04989,0.85,0.95,70200,Weekday,Monday,Maximum_Load
2018-01-01 19:45:00,10.703,3.386,0.556,0.04951,0.92,0.91,71100,Weekday,Monday,Medium_Load
2018-01-01 20:00:00,6.245,2.707,0.324,0.02795,0.88,0.96,72000,Weekday,Monday,Medium_Load
2018-01-01 20:15:00,6.389,2.012,0.299,0.03037,0.86,0.95,72900,Weekday,Monday,Medium_Load
2018-01-01 20:30:00,6.669,3.476,0.31,0.02981,0.87,0.96,73800,Weekday,Monday,Medium_Load
2018-01-01 20:45:00,6.17,3.173,0.057,0.02638,0.89,0.96,74700,Weekday,Monday,Medium_Load
2018-01-01 21:00:00,6.098,2.289,0.392,0.02799,0.87,0.95,75600,Weekday,Monday,Medium_Load
2018-01-01 21:15:00,6.175,2.126,0.455,0.02785,0.91,0.97,76500,Weekday,Monday,Medium_Load
2018-01-01 21:30:00,6.529,2.145,0.439,0.02783,0.91,0.95,77400,Weekday,Monday,Medium_Load
2018-01-01 21:45:00,6.382,3.542,0.465,0.02945,0.86,0.94,78300,Weekday,Monday,Medium_Load
2018-01-01 22:00:00,2.668,1.12,0.057,0.01188,0.86,0.95,79200,Weekday,Monday,Light_Load
2018-01-01 22:15:00,2.928,1.184,0.05,0.01335,0.91,0.95,80100,Weekday,Monday,Light_Load
2018-01-01 22:30:00,2.824,0.808,0.0,0.01317,0.92,0.97,81000,Weekday,Monday,Light_Load
2018-01-01 22:45:00,3.042,1.116,0.243,0.01383,0.87,0.94,81900,Weekday,Monday,Light_Load
2018-01-01 23:00:00,2.624,1.113,0.058,0.0118,0.88,0.95,82800,Weekday,Monday,Light_Load
2018-01-01 23:15:00,2.718,1.639,0.105,0.01177,0.89,0.94,83700,Weekday,Monday,Light_Load
2018-01-01 23:30:00,2.702,0.88,0.285,0.01203,0.92,0.96,84600,Weekday,Monday,Light_Load
2018-01-01 23:45:00,2.434,0.807,0.047,0.01199,0.93,0.97,85500,Weekday,Monday,Light_Load
2018-01-02 00:00:00,2.874,1.711,0.173,0.01332,0.86,0.93,0,Weekday,Tuesday,Light_Load
2018-01-02 00:15:00,2.865,1.027,0.34,0.01282,0.91,0.95,900,Weekday,Tuesday,Light_Load
2018-01-02 00:30:00,2.801,0.97,0.095,0.01166,0.9,0.99,1800,Weekday,Tuesday,Light_Load
2018-01-02 00:45:00,2.741,1.427,0.053,0.01297,0.9,0.95,2700,Weekday,Tuesday,Light_Load
2018-01-02 01:00:00,2.446,1.096,0.168,0.01153,0.86,0.94,3600,Weekday,Tuesday,Light_Load
2018-01-02 01:15:00,2.695,1.326,0.0,0.01197,0.89,0.93,4500,Weekday,Tuesday,Light_Load
2018-01-02 01:30:00,2.714,1.395,0.121,0.01227,0.84,0.95,5400,Weekday,Tuesday,Light_Load
2018-01-02 01:45:00,2.599,0.966,0.161,0.01131,0.92,0.94,6300,Weekday,Tuesday,Light_Load
2018-01-02 02:00:00,2.76,0.719,0.05,0.01232,0.91,0.92,7200,Weekday,Tuesday,Light_Load
2018-01-02 02:15:00,2.901,1.022,0.0,0.01324,0.89,0.93,8100,Weekday,Tuesday,Light_Load
2018-01-02 02:30:00,3.272,1.765,0.267,0.01465,0.87,0.96,9000,Weekday,Tuesday,Light_Load
2018-01-02 02:45:00,2.844,1.411,0.236,0.01345,0.91,0.92,9900,Weekday,Tuesday,Light_Load
2018-01-02 03:00:00,2.864,1.387,0.266,0.01312,0.86,0.94,10800,Weekday,Tuesday,Light_Load
2018-01-02 03:15:00,2.781,1.454,0.058,0.01232,0.88,0.91,11700,Weekday,Tuesday,Light_Load
2018-01-02 03:30:00,2.32,1.57,0.079,0.01116,0.9,0.93,12600,Weekday,Tuesday,Light_Load
2018-01-02 03:45:00,2.793,2.011,0.207,0.01387,0.86,0.93,13500,Weekday,Tuesday,Light_Load
2018-01-02 04:00:00,2.815,1.039,0.0,0.01133,0.93,0.96,14400,Weekday,Tuesday,Light_Load
2018-01-02 04:15:00,3.416,1.676,0.158,0.01653,0.91,0.98,15300,Weekday,Tuesday,Light_Load
2018-01-02 04:30:00,2.752,1.318,0.216,0.01211,0.91,0.96,16200,Weekday,Tuesday,Light_Load
2018-01-02 04:45:00,2.875,1.712,0.279,0.01272,0.88,0.95,17100,Weekday,Tuesday,Light_Load
2018-01-02 05:00:00,2.791,1.834,0.228,0.01332,0.91,0.98,18000,Weekday,Tuesday,Light_Load
2018-01-02 05:15:00,2.508,1.886,0.079,0.01072,0.9,0.95,18900,Weekday,Tuesday,Light_Load
2018-01-02 05:30:00,3.086,1.308,0.206,0.01274,0.87,0.92,19800,Weekday,Tuesday,Light_Load
2018-01-02 05:45:00,2.988,1.59,0.129,0.01199,0.9,0.95,20700,Weekday,Tuesday,Light_Load
2018-01-02 06:00:00,6.498,2.567,0.483,0.02891,0.89,0.95,21600,Weekday,Tuesday,Medium_Load
2018-01-02 06:15:00,6.073,2.812,0.604,0.02747,0.89,0.94,22500,Weekday,Tuesday,Medium_Load
2018-01-02 06:30:00,6.651,3.095,0.609,0.02963,0.87,0.96,23400,Weekday,Tuesday,Medium_Load
2018-01-02 06:45:00,5.95,2.562,0.434,0.02602,0.91,0.95,24300,Weekday,Tuesday,Medium_Load
2018-01-02 07:00:00,6.447,2.151,0.59,0.03078,0.93,0.97,25200,Weekday,Tuesday,Medium_Load
2018-01-02 07:15:00,6.848,2.091,0.114,0.03013,0.88,0.94,26100,Weekday,Tuesday,Medium_Load
2018-01-02 07:30:00,6.052,2.383,0.584,0.02599,0.87,0.96,27000,Weekday,Tuesday,Medium_Load
2018-01-02 07:45:00,6.158,1.464,0.518,0.02942,0.91,0.91,27900,Weekday,Tuesday,Medium_Load
2018-01-02 08:00:00,11.225,4.386,0.989,0.0533,0.89,0.96,28800,Weekday,Tuesday,Maximum_Load
2018-01-02 08:15:00,11.074,5.93,0.82,0.05147,0.86,0.95,29700,Weekday,Tuesday,Maximum_Load
2018-01-02 08:30:00,10.812,4.365,1.19,0.04702,0.9,0.97,30600,Weekday,Tuesday,Medium_Load
2018-01-02 08:45:00,11.217,5.25,0.588,0.04849,0.89,1.0,31500,Weekday,Tuesday,Maximum_Load
2018-01-02 09:00:00,10.934,5.492,0.829,0.05133,0.89,0.97,32400,Weekday,Tuesday,Medium_Load
2018-01-02 09:15:00,11.318,4.585,0.262,0.05552,0.91,0.91,33300,Weekday,Tuesday,Maximum_Load
2018-01-02 09:30:00,10.97,4.997,0.699,0.05006,0.89,0.94,34200,Weekday,Tuesday,Medium_Load
2018-01-02 09:45:00,11.587,4.762,0.714,0.05082,0.88,0.93,35100,Weekday,Tuesday,Maximum_Load
2018-01-02 10:00:00,11.004,5.349,0.45,0.05083,0.87,0.94,36000,Weekday,Tuesday,Maximum_Load
2018-01-02 10:15:00,11.119,4.405,0.453,0.04726,0.85,0.98,36900,Weekday,Tuesday,Maximum_Load
2018-01-02 10:30:00,11.403,6.588,0.703,0.04963,0.85,0.91,37800,Weekday,Tuesday,Maximum_Load
2018-01-02 10:45:00,10.892,3.443,0.511,0.05206,0.92,0.96,38700,Weekday,Tuesday,Medium_Load
2018-01-02 11:00:00,11.257,5.008,1.246,0.05277,0.9,0.95,39600,Weekday,Tuesday,Maximum_Load
2018-01-02 11:15:00,11.527,4.408,0.767,0.0555,0.89,0.93,40500,Weekday,Tuesday,Maximum_Load
2018-01-02 11:30:00,10.798,4.988,0.57,0.05033,0.88,0.95,41400,Weekday,Tuesday,Medium_Load
2018-01-02 11:45:00,11.246,4.181,0.356,0.05161,0.86,0.95,42300,Weekday,Tuesday,Maximum_Load
2018-01-02 12:00:00,11.265,4.469,0.955,0.05071,0.85,0.96,43200,Weekday,Tuesday,Maximum_Load
2018-01-02 12:15:00,11.395,4.314,0.764,0.04759,0.89,0.93,44100,Weekday,Tuesday,Maximum_Load
2018-01-02 12:30:00,10.891,4.31,0.959,0.05005,0.89,0.93,45000,Weekday,Tuesday,Medium_Load
2018-01-02 12:45:00,10.87,5.738,0.625,0.04918,0.85,0.94,45900,Weekday,Tuesday,Medium_Load
2018-01-02 13:00:00,11.33,4.073,1.076,0.05336,0.88,0.97,46800,Weekday,Tuesday,Maximum_Load
2018-01-02 13:15:00,11.274,5.532,0.688,0.05279,0.9,0.98,47700,Weekday,Tuesday,Maximum_Load
2018-01-02 13:30:00,11.263,4.443,1.094,0.04751,0.89,0.95,48600,Weekday,Tuesday,Maximum_Load
2018-01-02 13:45:00,11.287,4.135,0.452,0.05092,0.89,0.97,49500,Weekday,Tuesday,Maximum_Load
2018-01-02 14:00:00,11.03,3.446,0.732,0.05194,0.88,0.96,50400,Weekday,Tuesday,Maximum_Load
2018-01-02 14:15:00,11.258,5.33,0.686,0.04651,0.91,0.96,51300,Weekday,Tuesday,Maximum_Load
2018-01-02 14:30:00,11.273,5.351,0.641,0.05081,0.91,0.94,52200,Weekday,Tuesday,Maximum_Load
2018-01-02 14:45:00,11.021,3.84,0.971,0.05015,0.89,0.97,53100,Weekday,Tuesday,Maximum_Load
2018-01-02 15:00:00,11.666,5.632,0.738,0.04786,0.84,0.94,54000,Weekday,Tuesday,Maximum_Load
2018-01-02 15:15:00,11.318,5.781,1.106,0.05014,0.89,0.91,54900,Weekday,Tuesday,Maximum_Load
2018-01-02 15:30:00,10.902,3.854,0.236,0.05061,0.9,0.94,55800,Weekday,Tuesday,Medium_Load
2018-01-02 15:45:00,11.364,5.101,0.585,0.04789,0.86,0.92,56700,Weekday,Tuesday,Maximum_Load
2018-01-02 16:00:00,10.956,3.994,1.02,0.0513,0.85,0.99,57600,Weekday,Tuesday,Medium_Load
2018-01-02 16:15:00,11.397,3.508,0.876,0.05422,0.88,0.97,58500,Weekday,Tuesday,Maximum_Load
2018-01-02 16:30:00,11.49,5.021,0.642,0.05374,0.87,0.95,59400,Weekday,Tuesday,Maximum_Load
2018-01-02 16:45:00,10.995,5.601,0.826,0.05068,0.89,0.94,60300,Weekday,Tuesday,Medium_Load
2018-01-02 17:00:00,11.441,4.054,0.279,0.05061,0.9,0.98,61200,Weekday,Tuesday,Maximum_Load
2018-01-02 17:15:00,11.303,4.601,0.376,0.05457,0.9,0.94,62100,Weekday,Tuesday,Maximum_Load
2018-01-02 17:30:00,11.406,4.785,1.318,0.05433,0.88,0.99,63000,Weekday,Tuesday,Maximum_Load
2018-01-02 17:45:00,11.674,4.468,0.785,0.04711,0.89,0.94,63900,Weekday,Tuesday,Maximum_Load
2018-01-02 18:00:00,11.139,3.969,1.074,0.04921,0.88,0.95,64800,Weekday,Tuesday,Maximum_Load
2018-01-02 18:15:00,11.012,5.289,0.319,0.04974,0.89,0.97,65700,Weekday,Tuesday,Maximum_Load
2018-01-02 18:30:00,10.978,3.332,0.826,0.05194,0.89,0.94,66600,Weekday,Tuesday,Medium_Load
2018-01-02 18:45:00,10.996,4.925,0.353,0.05023,0.9,0.95,67500,Weekday,Tuesday,Medium_Load
2018-01-02 19:00:00,11.181,4.198,0.265,0.05102,0.91,0.95,68400,Weekday,Tuesday,Maximum_Load
2018-01-02 19:15:00,11.285,5.12,0.191,0.05324,0.86,0.94,69300,Weekday,Tuesday,Maximum_Load
2018-01-02 19:30:00,11.269,4.76,0.412,0.05169,0.89,0.96,70200,Weekday,Tuesday,Maximum_Load
2018-01-02 19:45:00,11.407,5.613,0.153,0.05521,0.87,0.93,71100,Weekday,Tuesday,Maximum_Load
2018-01-02 20:00:00,6.303,3.529,0.344,0.02914,0.86,0.9,72000,Weekday,Tuesday,Medium_Load
2018-01-02 20:15:00,6.663,2.009,0.705,0.03284,0.88,0.91,72900,Weekday,Tuesday,Medium_Load
2018-01-02 20:30:00,6.234,3.125,0.59,0.02893,0.87,0.95,73800,Weekday,Tuesday,Medium_Load
2018-01-02 20:45:00,6.98,2.821,0.201,0.02983,0.91,0.96,74700,Weekday,Tuesday,Medium_Load
2018-01-02 21:00:00,6.456,1.732,0.402,0.02977,0.89,0.93,75600,Weekday,Tuesday,Medium_Load
2018-01-02 21:15:00,6.086,3.019,0.564,0.02805,0.92,0.96,76500,Weekday,Tuesday,Medium_Load
2018-01-02 21:30:00,6.032,2.551,0.41,0.02733,0.9,0.98,77400,Weekday,Tuesday,Medium_Load
2018-01-02 21:45:00,6.421,2.617,0.198,0.02947,0.89,0.96,78300,Weekday,Tuesday,Medium_Load
2018-01-02 22:00:00,2.744,0.667,0.272,0.01198,0.89,0.96,79200,Weekday,Tuesday,Light_Load
2018-01-02 22:15:00,2.979,0.879,0.089,0.01389,0.88,0.94,80100,Weekday,Tuesday,Light_Load
2018-01-02 22:30:00,2.918,1.631,0.109,0.01263,0.9,0.96,81000,Weekday,Tuesday,Light_Load
2018-01-02 22:45:00,2.782,1.117,0.0,0.01229,0.88,0.95,81900,Weekday,Tuesday,Light_Load
2018-01-02 23:00:00,2.588,1.109,0.18,0.01122,0.87,0.95,82800,Weekday,Tuesday,Light_Load
2018-01-02 23:15:00,2.421,1.675,0.156,0.01065,0.85,0.91,83700,Weekday,Tuesday,Light_Load
2018-01-02 23:30:00,2.688,1.226,0.18,0.01218,0.88,0.95,84600,Weekday,Tuesday,Light_Load
2018-01-02 23:45:00,3.014,1.083,0.392,0.01426,0.88,0.98,85500,Weekday,Tuesday,Light_Load
2018-01-03 00:00:00,2.854,1.572,0.072,0.01284,0.86,0.91,0,Weekday,Wednesday,Light_Load
2018-01-03 00:15:00,2.489,0.988,0.223,0.01096,0.88,0.95,900,Weekday,Wednesday,Light_Load
2018-01-03 00:30:00,2.843,1.255,0.111,0.01166,0.89,0.99,1800,Weekday,Wednesday,Light_Load
2018-01-03 00:45:00,2.896,1.178,0.191,0.01217,0.87,0.91,2700,Weekday,Wednesday,Light_Load
2018-01-03 01:00:00,2.579,1.271,0.17,0.01212,0.88,1.0,3600,Weekday,Wednesday,Light_Load
2018-01-03 01:15:00,2.838,1.619,0.347,0.01285,0.86,0.97,4500,Weekday,Wednesday,Light_Load
2018-01-03 01:30:00,2.815,1.077,0.122,0.01287,0.89,0.97,5400,Weekday,Wednesday,Light_Load
2018-01-03 01:45:00,2.514,1.294,0.085,0.01079,0.88,0.97,6300,Weekday,Wednesday,Light_Load
2018-01-03 02:00:00,2.889,1.015,0.356,0.01204,0.88,0.95,7200,Weekday,Wednesday,Light_Load
2018-01-03 02:15:00,2.94,1.259,0.076,0.01355,0.9,0.94,8100,Weekday,Wednesday,Light_Load
2018-01-03 02:30:00,3.071,1.631,0.291,0.01489,0.86,0.91,9000,Weekday,Wednesday,Light_Load
2018-01-03 02:45:00,3.063,0.397,0.214,0.01308,0.91,0.94,9900,Weekday,Wednesday,Light_Load
2018-01-03 03:00:00,2.456,1.417,0.193,0.00996,0.91,0.95,10800,Weekday,Wednesday,Light_Load
2018-01-03 03:15:00,2.566,1.004,0.171,0.01243,0.91,0.95,11700,Weekday,Wednesday,Light_Load
2018-01-03 03:30:00,2.929,1.41,0.303,0.01259,0.83,0.97,12600,Weekday,Wednesday,Light_Load
2018-01-03 03:45:00,2.928,0.947,0.517,0.01422,0.88,0.9,13500,Weekday,Wednesday,Light_Load
2018-01-03 04:00:00,2.929,0.668,0.219,0.01387,0.9,0.93,14400,Weekday,Wednesday,Light_Load
2018-01-03 04:15:00,3.763,2.108,0.015,0.0179,0.88,0.94,15300,Weekday,Wednesday,Light_Load
2018-01-03 04:30:00,2.943,1.18,0.11,0.01276,0.85,0.97,16200,Weekday,Wednesday,Light_Load
2018-01-03 04:45:00,8.12,3.714,0.057,0.02776,0.91,0.94,17100,Weekday,Wednesday,Light_Load
2018-01-03 05:00:00,3.039,1.036,0.143,0.01421,0.89,0.97,18000,Weekday,Wednesday,Light_Load
2018-01-03 05:15:00,2.963,1.702,0.052,0.01377,0.9,0.96,18900,Weekday,Wednesday,Light_Load
2018-01-03 05:30:00,2.721,1.455,0.224,0.01206,0.89,0.95,19800,Weekday,Wednesday,Light_Load
2018-01-03 05:45:00,2.99,1.363,0.0,0.01388,0.86,0.95,20700,Weekday,Wednesday,Light_Load
2018-01-03 06:00:00,6.107,2.963,0.113,0.02849,0.85,0.96,21600,Weekday,Wednesday,Medium_Load
2018-01-03 06:15:00,16.756,4.01,0.15,0.05779,0.88,0.94,22500,Weekday,Wednesday,Medium_Load
2018-01-03 06:30:00,6.179,2.755,0.221,0.02754,0.93,0.94,23400,Weekday,Wednesday,Medium_Load
2018-01-03 06:45:00,6.32,3.122,0.108,0.03108,0.85,0.94,24300,Weekday,Wednesday,Medium_Load
2018-01-03 07:00:00,6.879,3.317,0.169,0.02818,0.86,0.93,25200,Weekday,Wednesday,Medium_Load
2018-01-03 07:15:00,5.833,2.843,0.606,0.02498,0.86,0.99,26100,Weekday,Wednesday,Medium_Load
2018-01-03 07:30:00,6.472,3.19,0.655,0.03097,0.9,0.97,27000,Weekday,Wednesday,Medium_Load
2018-01-03 07:45:00,5.897,2.998,0.378,0.02683,0.88,0.96,27900,Weekday,Wednesday,Medium_Load
2018-01-03 08:00:00,11.082,4.716,0.579,0.04915,0.91,0.93,28800,Weekday,Wednesday,Maximum_Load
2018-01-03 08:15:00,11.472,4.006,1.051,0.05243,0.92,0.96,29700,Weekday,Wednesday,Maximum_Load
2018-01-03 08:30:00,11.216,3.413,0.283,0.04868,0.94,0.93,30600,Weekday,Wednesday,Maximum_Load
2018-01-03 08:45:00,10.931,5.229,0.468,0.05067,0.91,0.98,31500,Weekday,Wednesday,Medium_Load
2018-01-03 09:00:00,11.021,5.217,0.565,0.0498,0.85,0.97,32400,Weekday,Wednesday,Maximum_Load
2018-01-03 09:15:00,11.37,4.988,0.09,0.05283,0.91,0.94,33300,Weekday,Wednesday,Maximum_Load
2018-01-03 09:30:00,11.017,3.552,0.95,0.04834,0.88,0.94,34200,Weekday,Wednesday,Maximum_Load
2018-01-03 09:45:00,11.254,3.684,0.578,0.05179,0.89,0.95,35100,Weekday,Wednesday,Maximum_Load
2018-01-03 10:00:00,11.211,4.586,1.045,0.05112,0.9,0.99,36000,Weekday,Wednesday,Maximum_Load
2018-01-03 10:15:00,11.037,4.057,0.434,0.04913,0.91,0.95,36900,Weekday,Wednesday,Maximum_Load
2018-01-03 10:30:00,11.736,5.972,1.051,0.05565,0.88,0.96,37800,Weekday,Wednesday,Maximum_Load
2018-01-03 10:45:00,11.358,4.226,0.858,0.05204,0.92,0.95,38700,Weekday,Wednesday,Maximum_Load
